time,labels
0.21710527,tPNf
0.14985164,tPNf
0.16385542,tPNf
0.21327014,tPNf
0.18285714,tPNf
0.16508795,tPNf
0.18927445,tPNf
0.14772727,tPNf
0.17610063,tPNf
0.14343163,tPNf
0.15773809,tPNf
0.20363636,tPNf
0.19402985,tPNf
0.1984127,tPNf
0.16513762,tPNf
0.16513762,tPNf
0.12722948,tPNf
0.20934959,tPNf
0.15481171,tPNf
0.20075047,tPNf
0.16727273,tPNf
0.17202573,tPNf
0.18,tPNf
0.17185186,tPNf
0.19645733,tPNf
0.15611193,tPNf
0.1773163,tPNf
0.2046589,tPNf
0.20807454,tPNf
0.14104372,tPNf
0.23190789,tPNf
0.16207951,tPNf
0.15658364,tPNf
0.20450282,tPNf
0.13994566,tPNf
0.20238096,tPNf
0.15314136,tPNf
0.12954186,tPNf
0.14038128,tPNf
0.19253731,tPNf
0.13494319,tPNf
0.21875,tPNf
0.18838304,tPNf
0.1649635,tPNf
0.19304349,tPNf
0.16767372,tPNf
0.25142857,tPNf
0.17511521,tPNf
0.15483871,tPNf
0.23355263,tPNf
0.15483871,tPNf
0.22956522,tPNf
0.18608695,tPNf
0.17050068,tPNf
0.20833333,tPNf
0.17897727,tPNf
